7,,,,,,,,,,,,,,,,,,
8A,,,,,,,,,,CSE 3313,JFJ,1501,CSE 3297,EKH,1501,,,
8B,CSE 3315,TD,2004,CSE 3313,MDS,UB 111,CSE 3297,FHM,UB 111,,,,,,,,,
8C,,,,BUS 3309,UYC,Online,MGT 3311,UYC,Online,,,,,,,,,
9A,CSE 3313,AIN,2003,,,,CSE 4116 - I,MMH,Ub 103,CSE 4116 - I,MMH,UB 103,CSE 4116 - II,MMH,1503,CSE 4116 - II,MMH,1503
10A,CSE 2339,MDS,UB 111,CSE 4251,THL,2004,,,,,,,,,,,,
11A,,,,,,,,,,,,,,,,,,
12A,,,,,,,,,,,,,,,,,,
,,,,,,,Soft Com,AIN,1503,Soft Com,SAK,1503,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Wednesday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.30 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
Section,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A,,,,,,,PHY 1002 - I,MN,1506,CSE 1101,ANM,1501,,,,PHY 1001,MN,1501
1B,,,,,,,CSE 1101,SHB,1501,,,,PHY 1001,MN,1501,,,
1C,,,,,,,CSE 1101,SHB,1501,,,,PHY 1001,MN,1501,,,
2A,PHY 1001,SAR,1501,CSE 1203,FI,1501,CSE 1201,THL,UB 110,,,,,,,,,
3A,,,,,,,CSE 2102,EKH,1505,CSE 2102,EKH,Online,CSE 2100 - I,ANM,UB 103,CSE 2100 - I,ANM,UB 103
3B,EEE 2103,SR,UB 111,CSE 2103,ARD,UB 111,,,,CSE 2101,TA,UB 110,,,,BCC 2101,SHU,Online
3C,,,,EEE 2104 - II,SR,1506,CSE 2100 - II,EJ,Online,CSE 2100 - II,EJ,1505,CSE 2102 - II,JFJ,1503,CSE 2102 - II,JFJ,1503
4A,CSE 2200 - I,AIN,1503,CSE 2200 - I,AIN,1503,,,,,,,CSE 2200 - II,AIN,1504,CSE 2200 - II,AIN,1504
5A,,,,,,,CSE 3107,SN,UB 111,CSE 3103,MOH,2004,CSE 3105,TD,UB 110,CSE 3101,TD,UB 110
6A,CSE 3202 - I,FHM,1505,CSE 3202 - I,FHM,1505,CSE 3207,TD,2004,CSE 3209,SN,UB 111,,,,,,
7,,,,,,,,,,,,,,,,,,
8A,,,,BUS 3309,UYC,Online,MGT 3311,UYC,Online,,,,,,,,,
8B,,,,BUS 3309,UYC,Online,,,,CSE 3298 - I,MAK,1503,CSE 3311,ARD,UB 111,CSE 3313,MDS,UB 111
8C,CSE 3314 - II,TA,1504,CSE 3314 - II,TA,1504,CSE 3298 - II,MAK,1503,,,,,,,,,
9A,CSE 4115,MMH,2004,CSE 3316,FA,2004,,,,,,,,,,,,
10A,CSE 4251,THL,UB 110,CSE 4145,MAK,UB 110,CSE 4131 - I,SAK,1504,CSE 4131 - I,SAK,1504,CSE 2339,MDS,2004,,,
11A,,,,,,,,,,,,,,,,,,
12A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Cyber Com,FHM,1505,Cyber Com,FHM,1505
,,,,,,,,,,,,,CP Com,SDO,UB 103,CP Com,SDO,UB 103
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Thursday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.30 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
Section,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A,ECA 1101,AS,Online,BDS 1001,DMMH,Online,,,,,,,,,,,,
1B,,,,ECA 1101,AS,Online,,,,BDS 1001,DJMF,Online,,,,,,
1C,,,,ECA 1101,AS,Online,,,,BDS 1001,DJMF,Online,,,,,,
2A,CSE 1202 - II,FHM,1505,CSE 1202 - II,FHM,1505,CSE 1204 - II,FI,1503,CSE 1204 - II,FI,1503,MAT 1203,HR,2004,,,
3A,,,,,,,,,,,,,BCC 2101,SHU,Online,BCC 2101,SHU,Online
3B,,,,,,,,,,BCC 2101,SHU,Online,,,,,,
3C,,,,CSE 2103,ARD,1501,CSE 2101,JFJ,UB 110,MAT 2105,HR,Annex,,,,,,
4A,CSE 2202 - I,SDO,1503,CSE 2202- I,SDO,1503,MAT 2207,ABM,1501,,,,CSE 2202 - II,SDO,1503,CSE 2202 - II,SDO,1503
5A,CSE 3104 - I,SAR,1506,CSE 3104 -  I,SAR,1506,CSE 3106 - I,TD,1504,CSE 3106 - II,TD,1504,CSE 3104 - II,SAR,1506,CSE 3104 - II,SAR,1506
6A,CSE 3204,JFJ,1504,CSE 3210,SAK,1504,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8A,,,,,,,,,,CSE 3311,ARD,1501,CSE 3313,JFJ,1501,CSE 3315,TD,1501
8B,,,,,,,,,,CSE 3316,FHM,UB 111,CSE 3297,FHM,1504,CSE 3311,ARD,1504
8C,CSE 3315,TD,1501,,,,CSE 3311,ARD,UB 111,,,,,,,,,
9A,CSE 3314 - I,AIN,Ub 103,CSE 3314 - I,AIN,UB 103,,,,,,,CSE 3314 - II,AIN,1505,CSE 3314 - II,AIN,1505
10A,,,,,,,,,,,,,,,,,,
11A,,,,,,,,,,,,,,,,,,
12A,,,,,,,,,,,,,,,,,,
,,,,,,,ML Com,MMH,1505,ML Com,MDS,1505,,,,,,
